LEN,Lennar Corporation,158.47,0.127
PAYX,Paychex, Inc.,121.19,0.042
KHC,The Kraft Heinz Company,35.89,-0.012
LULU,lululemon athletica inc.,345.61,0.156
BK,The Bank of New York Mellon Cor,57.51,0.026
AMP,Ameriprise Financial, Inc.,425.94,0.125
CCI,Crown Castle Inc.,97.31,-0.074
PRU,Prudential Financial, Inc.,116.69,0.379
A,Agilent Technologies, Inc.,142.8,-0.056
KMI,Kinder Morgan, Inc.,18.81,-0.012
FIS,Fidelity National Information S,74.05,-0.297
IQV,IQVIA Holdings, Inc.,227.88,0.023
DOW,Dow Inc.,58.64,-0.092
LHX,L3Harris Technologies, Inc.,215.81,0.166
NUE,Nucor Corporation,169.8,-0.066
CNC,Centene Corporation,75.85,0.044
HSY,The Hershey Company,199.96,0.089
IDXX,IDEXX Laboratories, Inc.,487.07,0.071
KR,Kroger Company (The),55.38,-0.006
CTVA,Corteva, Inc.,56.82,-0.08
CMI,Cummins Inc.,289.06,-0.006
ODFL,Old Dominion Freight Line, Inc.,181.7,0.012
CHTR,Charter Communications, Inc.,272.78,0.002
GIS,General Mills, Inc.,69.53,-0.005
KVUE,Kenvue Inc.,20.45,-0.027
AME,AMETEK, Inc.,169.14,0.087
HUM,Humana Inc.,324.14,0.107
PWR,Quanta Services, Inc.,264.98,0.136
YUM,Yum! Brands, Inc.,136.96,-0.029
FAST,Fastenal Company,66.78,0.019
OTIS,Otis Worldwide Corporation,94.52,0.027
EXC,Exelon Corporation,37.82,0.086
MSCI,MSCI Inc.,470.75,0.148
SYY,Sysco Corporation,74.62,0.027
ACGL,Arch Capital Group Ltd.,98.93,0.244
GEHC,GE HealthCare Technologies Inc.,81.11,-0.012
CSGP,CoStar Group, Inc.,90.32,0.123
MLM,Martin Marietta Materials, Inc.,596.64,-0.076
IR,Ingersoll Rand Inc.,90.75,0.025
RCL,Royal Caribbean Cruises Ltd.,141.68,0.292
FANG,Diamondback Energy, Inc.,203.22,0.174
PEG,Public Service Enterprise Group,72.56,-0.265
VMC,Vulcan Materials Company (Holdi,267.93,-0.063
VRSK,Verisk Analytics, Inc.,244.57,0.08
LVS,Las Vegas Sands Corp.,46.77,0.396
MPWR,Monolithic Power Systems, Inc.,713.37,0.015
NDAQ,Nasdaq, Inc.,59.91,0.092
XYL,Xylem Inc.,141.2,0.404
ED,Consolidated Edison, Inc.,97.57,-0.028
DAL,Delta Air Lines, Inc.,52.28,0.078
IT,Gartner, Inc.,434.27,0.045
CTSH,Cognizant Technology Solutions ,67.72,-0.011
EA,Electronic Arts Inc.,125.24,-0.051
LYB,LyondellBasell Industries NV,102.18,-0.031
HWM,Howmet Aerospace Inc.,81.42,0.138
HAL,Halliburton Company,37.04,0.022
